source,title,link,published,sent_compound,sent_label
BBC,Trump says Starmer is 'no Winston Churchill' over Iran strikes,https://www.bbc.com/news/articles/c62gwkjg0k9o?at_medium=RSS&at_campaign=rss,,-0.3612,negative
BBC,UK to send Royal Navy warship HMS Dragon to Cyprus,https://www.bbc.com/news/articles/c4g40yp2p13o?at_medium=RSS&at_campaign=rss,,-0.1779,negative
BBC,Fears over food shortages in Tehran as residents worry about length of war,https://www.bbc.com/news/articles/cdr2ep48r33o?at_medium=RSS&at_campaign=rss,,-0.8807,negative
BBC,"We need more updates, say British nationals stuck in Middle East",https://www.bbc.com/news/articles/cgml4e7p3x2o?at_medium=RSS&at_campaign=rss,,-0.25,negative
BBC,Watch: Footage from across Iran shows scale of strikes,https://www.bbc.com/news/videos/cd70zp0v3g4o?at_medium=RSS&at_campaign=rss,,-0.3612,negative
BBC,Andrew gives up lease on Crown Estate property,https://www.bbc.com/news/articles/cd9gepe7z4yo?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,"No new tax rises in Spring Statement, but don't be fooled - tax bills are still rising",https://www.bbc.com/news/articles/cj6dwg4deewo?at_medium=RSS&at_campaign=rss,,0.2905,positive
BBC,What Spring Statement forecasts could mean for your money,https://www.bbc.com/news/articles/cn0ekek5l87o?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,The 15-minute call where hundreds of 'devastated' Brewdog staff were made redundant,https://www.bbc.com/news/articles/cd70zjvwjpdo?at_medium=RSS&at_campaign=rss,,-0.6124,negative
BBC,Rapper Ghetts jailed for 12 years for killing student in hit-and-run,https://www.bbc.com/news/articles/cvgjn1rpwn7o?at_medium=RSS&at_campaign=rss,,-0.8225,negative
BBC,New charges for son of Norway's crown princess on trial for rape,https://www.bbc.com/news/articles/c0e5r28y3xqo?at_medium=RSS&at_campaign=rss,,-0.7783,negative
BBC,Elton John's family photo hung in National Portrait Gallery,https://www.bbc.com/news/articles/c89kq5d5vepo?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,The unsung body doubles of Wuthering Heights,https://www.bbc.com/news/articles/c2k8p194zwko?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,Key points from the Spring Statement - at a glance,https://www.bbc.com/news/articles/c5yv255914xo?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,'Shh please girls' - the night 11-year-old Gary Barlow left clubgoers gobsmacked,https://www.bbc.com/news/articles/c33jpr11j3xo?at_medium=RSS&at_campaign=rss,,0.3182,positive
BBC,We still change our plans and routes for safety five years after Sarah Everard's murder,https://www.bbc.com/news/articles/c178x2yzkglo?at_medium=RSS&at_campaign=rss,,-0.4404,negative
BBC,I take marathon training seriously - but Ramadan is more important,https://www.bbc.com/sport/athletics/articles/c1e9vqn4xd6o?at_medium=RSS&at_campaign=rss,,0.3159,positive
